location_group,location_type,location_code,location,latitude,longitude
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,SH-KADIKOY-2,Sehir Hatlari Vapuru,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5135,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-O5015,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5088,IETT Otobus,0.0000000000,0.0000000000
Koyler,Koy,070-Sile Akcakese Koyu Meydan,ŞİLE,41.1428400000,29.7181800000
Mobil,Otobus 4G,IETT-B5041,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2137,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1508,IETT Otobus,0.0000000000,0.0000000000
Diger,Peron,IETT Peron-Kadikoy,KADIKÖY,40.9940500000,29.0244500000
Mobil,Belnet,IETT-BLNT-34FIZ299,Belnet Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M4514,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5149,IETT Otobus,0.0000000000,0.0000000000
Diger,Peron,IETT GM-Menderes,ESENLER,41.2344300000,28.5243600000
Diger,Garaj,IETT Garaj-Anadolu-In,ATAŞEHİR,40.9791700000,29.1329000000
Mobil,Otobus 4G,IETT-K1236,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1073,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1739,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2520,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2155,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Itfaiye,007-Florya Itfaiye,BAKIRKÖY,40.9633800000,28.8082200000
Hizmet Binasi,Zabita,009-Uskudar Sahil Zabita Karakolu,ÜSKÜDAR,41.0278700000,29.0154900000
Mobil,Otobus 4G,IETT-O1081,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,061-Arnavutkoy Yol Bakim,ARNAVUTKÖY,41.1711900000,28.7606200000
Mobil,Otobus 4G,IETT-M2178,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4558,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M4511,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1234,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1306,IETT Otobus,0.0000000000,0.0000000000
Diger,Garaj,IETT Garaj-Ikitelli-Out,KÜÇÜKÇEKMECE,41.0331000000,28.4729300000
Mobil,Metrobus,Metrobus-M4925,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2283,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Beyoglu Metrohan Kutuphaneler ve Muzeler Mudurlugu,BEYOĞLU,41.0283800000,28.9741900000
Mobil,Otobus 4G,IETT-B5202,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3274,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,ISTAC-Sutluce,BEYOĞLU,41.0383000000,28.6785700000
Koyler,Koy,070-Sile Teke Koyu Meydan,ŞİLE,41.0691000000,29.6648200000
Yesil Alan,Park,031-Kartal Sahil,KARTAL,40.8685300000,29.2560200000
Yesil Alan,ParkBahceler,032-Basaksehir Park ve Bahceler,BAŞAKŞEHİR,41.1084600000,28.8039700000
Mobil,Otobus 4G,IETT-M2041,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5091,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1604,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1129,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,METRO-M2-09-Levent,ŞİŞLİ,41.0763300000,29.0143700000
Mobil,Otobus 4G,IETT-O1139,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3287,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B3002,IETT Otobus,0.0000000000,0.0000000000
Yesil Alan,Koru,030-Beykoz Korusu Park ve Bahceler Sefligi,BEYKOZ,41.1331500000,29.0985700000
Koyler,Koy,070-Sile Esenceli Koyu Meydan,ŞİLE,41.0535200000,29.3923800000
Mobil,Otobus 4G,IETT-B5015,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4890,IETT Metrobus,0.0000000000,0.0000000000
Otobus Duragi,Durak,038-Kozyatagi Otobus Duragi,KADIKÖY,40.9755900000,29.0994700000
Mobil,Otobus 4G,IETT-O1246,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3121,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2367,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2393,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1211,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O2268,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Kucukcekmece TEDES Merkezi,KÜÇÜKÇEKMECE,41.0004500000,28.8002700000
Mobil,Otobus 4G,IETT-B5224,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M4711,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1125,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1023,IETT Otobus,0.0000000000,0.0000000000
Ismek,Ismek,ISMEK-Mecidiyekoy,ŞİŞLİ,41.0672300000,28.9974000000
Mobil,Otobus 4G,IETT-T1032,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,METRO-M7-06-CaglayanSor,KAĞITHANE,41.0709600000,28.9804800000
Mobil,Otobus 4G,IETT-O2227,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,IGDAS_Bahcelievler,BAHÇELİEVLER,40.9987300000,28.8345700000
Diger,AvrupaMeydan,018-Bakirkoy Meydan,BAKIRKÖY,40.9808800000,28.8738600000
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,SH-BEYOGLU-1,Sehir Hatlari Vapuru,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Beylikduzu Ozgem,BEYLİKDÜZÜ,41.0017000000,28.6418600000
Hizmet Binasi,Bina,ISKI-Deneme,KAĞITHANE,41.0858900000,28.9635200000
